MID,IOS_score,IOS_group,wc_self,wc_target,wc_intercept,Overlap_score,word_vec_avg_self,word_vec_avg_target,_merge,euclidean_distance,manhattan_distance,cosine_similarity
3,2,LowIOS,14,10,1,0.043478260869565216,"[ 0.1058292   0.02908306  0.05915746  0.02948001  0.0490743   0.03297472
 -0.06103039  0.03867036 -0.07479926 -0.05135     0.08041532 -0.01133765
 -0.04026837  0.05539275 -0.00908119  0.0444169  -0.01212827 -0.06782803
 -0.04734247  0.08197854  0.10174821  0.11512168 -0.02232329  0.01565233
  0.03569195 -0.05078308  0.02341729 -0.06442953  0.0666701   0.05736033
  0.05190947  0.01356006 -0.02404487 -0.04293329  0.00588103  0.03575427
 -0.01291572  0.08929018  0.13115165 -0.08150538  0.03941793  0.05079526
  0.09079647  0.08853699  0.03775631 -0.07025574  0.03074     0.13113075
  0.06424484 -0.02020193]","[ 0.10281058 -0.01622817  0.12231994  0.00109742 -0.00218687  0.02787927
 -0.05148222 -0.02377091 -0.15244712 -0.08287358  0.15333073 -0.07431631
  0.03301454  0.14427575 -0.01346614  0.13432023 -0.00487284 -0.13800052
 -0.01289379  0.05867501  0.15235135  0.09146103 -0.01179487  0.05281321
  0.07865671 -0.04814221  0.15315603  0.0578777   0.0954013   0.03366413
  0.03432774  0.02872022 -0.03622088 -0.04121505 -0.08759582  0.08627766
 -0.08704633  0.12249351  0.00707789 -0.11999208  0.09737505  0.13647243
  0.02958939  0.12762998  0.0676281  -0.04340216  0.0346836   0.14020813
  0.0083793  -0.02574127]",both,0.3921996645703992,2.212569275405258,0.759
11,2,LowIOS,4,15,1,0.05555555555555555,"[ 1.69084147e-02 -7.26589700e-03  2.11768001e-01  3.46988454e-05
  2.78253369e-02  1.86006159e-01 -1.10801533e-01  1.37388678e-02
 -1.07919291e-01 -3.11174002e-02  1.62223846e-01 -9.45587903e-02
 -5.82613274e-02  1.13149015e-02 -2.81379614e-02 -1.69324521e-02
  2.34440230e-02 -8.46295953e-02 -1.00445017e-01  1.51602104e-01
  1.31631836e-01  1.15991637e-01  7.09397569e-02 -9.47911106e-03
  1.50194883e-01  6.53571403e-03  2.25301772e-01 -4.01576869e-02
  1.77100047e-01 -1.71297099e-02  1.71521574e-01 -6.60564527e-02
  1.90913565e-02  5.55626154e-02 -2.73552034e-02  1.85374424e-01
  2.73409542e-02  9.31281149e-02  1.10288814e-01 -8.41103643e-02
 -2.46417932e-02  1.24074742e-01  8.20760131e-02  9.79813486e-02
  3.07613965e-02 -7.42990449e-02  6.17830157e-02  1.79972515e-01
 -3.58754508e-02 -2.90972479e-02]","[ 0.06061446  0.01933753  0.0653864   0.01110807  0.0927805   0.08103089
 -0.05848349  0.07032268 -0.07925627 -0.09130173  0.08744039 -0.09219343
 -0.07022969  0.06784607 -0.02529049  0.06993981 -0.01290852 -0.01498907
 -0.02086463  0.04605031  0.04045764  0.15943609  0.09746689  0.08675085
  0.00675843 -0.02400922  0.03966296  0.02031243  0.15282567  0.09266798
  0.07426146 -0.04593454  0.01236352 -0.01644511  0.01235578  0.04696546
  0.07567899  0.08208942  0.13274525 -0.10600837  0.00820954  0.10073516
  0.04830966  0.06991732  0.07368498 -0.02117671 -0.00865335  0.1206076
  0.03333277  0.01275936]",both,0.49484945269027475,2.8663775473833084,0.72
13,6,HighIOS,7,6,0,0.0,"[ 0.05254399 -0.02020597  0.08731089  0.00036927 -0.03880192  0.0104444
 -0.03426823  0.06878951 -0.0348581  -0.09229758  0.20505935 -0.06587104
 -0.02015748  0.05378917 -0.01443504  0.06320356  0.03120425 -0.0760327
 -0.08565705  0.05771589  0.15732233  0.13524438  0.08173642  0.07718852
 -0.04310788  0.00822987  0.1274949  -0.06637707  0.0915281   0.11720908
  0.06603398 -0.08094677 -0.03275773  0.02499928  0.03420201  0.08388519
  0.00880573  0.10806584  0.04470865 -0.1333726   0.05054634  0.18796378
  0.02436498  0.13233694  0.01364753  0.01256306  0.06608366  0.1070674
  0.02380846 -0.08592439]","[ 1.57473356e-01 -2.42090737e-03  7.84671158e-02 -8.42075329e-03
  2.30684280e-02  7.80527368e-02 -1.93795352e-03 -3.67632769e-02
 -1.60108492e-01 -1.47502944e-01  1.59772843e-01 -1.18317865e-01
  2.74319481e-02  5.02208769e-02  3.78382206e-02  7.45781809e-02
 -2.26123445e-02 -1.87279984e-01 -8.93053412e-03 -3.88778187e-02
  1.28597006e-01  1.53913692e-01  1.38553176e-02  4.86750491e-02
  8.96823332e-02 -9.40092560e-03  1.24138124e-01  1.18850599e-04
  5.87277710e-02  4.37137373e-02  9.74449515e-02  1.65037364e-02
 -4.13189791e-02 -2.41649318e-02  6.40747994e-02  8.10715333e-02
 -2.63489457e-03  1.22309037e-01  6.51413947e-02 -2.73510162e-02
 -5.86470822e-03  6.58801645e-02  6.66640997e-02  9.29196924e-02
  8.64247903e-02 -5.52090183e-02  2.24036705e-02  1.94086194e-01
  8.12953711e-02 -1.98238660e-02]",both,0.44835399986981583,2.635905505158007,0.711
17,3,LowIOS,15,12,3,0.125,"[ 0.04897259  0.03272291  0.11012402 -0.00098261  0.00105977  0.04510436
 -0.06409105  0.07698671 -0.04315123 -0.067583    0.09354154 -0.06079992
 -0.01485991  0.01227888  0.02717331  0.06316225 -0.00823379 -0.06537725
 -0.06249236  0.07394328  0.09762453  0.12382017 -0.02316623 -0.00590838
  0.05993418 -0.01891891  0.03773098 -0.07106152  0.05502256  0.06755856
  0.05104208 -0.011626    0.00248089  0.06164967 -0.02843298  0.08919223
  0.07020687  0.09534396  0.12799531 -0.10824635  0.04005269  0.10135979
  0.04030319  0.06201994  0.05999285 -0.03475166  0.05785607  0.06350146
  0.00413858  0.01385805]","[ 0.10208222  0.0109177   0.06720565  0.06214175  0.03481948  0.10789227
 -0.06369865  0.08049281 -0.08863188 -0.111403    0.10094739 -0.09055596
 -0.00183341 -0.00395728  0.02203364  0.10435928 -0.01398647 -0.12815654
 -0.09896836  0.05470735  0.14345671  0.08721895 -0.08336762  0.02108461
  0.10162327 -0.02064127  0.08497427 -0.06404036  0.03411621  0.06120972
  0.07108211 -0.00296653 -0.03133225  0.03745273 -0.02951272  0.05656823
  0.0061706   0.10186578  0.07724    -0.10303954  0.01523386  0.08819854
  0.08507197  0.08716264  0.07422791 -0.10389958  0.08572408  0.13407606
  0.06066683  0.01375937]",both,0.25816739658126175,1.4955459972843528,0.879
22,6,HighIOS,4,15,4,0.26666666666666666,"[ 0.03574508  0.05513598  0.23960969  0.04327343 -0.08485791  0.07077427
 -0.0125687  -0.09583731  0.06138303 -0.17883575  0.11964497 -0.10714415
 -0.03503913  0.12607491  0.02709156  0.12799723 -0.07675223 -0.11567524
 -0.08966061  0.05516512  0.02130418  0.12873843 -0.02972277 -0.05890918
 -0.07726061 -0.01196383  0.04725552 -0.01854929  0.12481567  0.00971079
  0.04072611 -0.05508791  0.03857131 -0.0526396  -0.03034513  0.19315994
  0.05552408  0.22741036 -0.0413635  -0.09535078  0.00353371  0.14715512
  0.04787369  0.15633161  0.09072215 -0.07600974 -0.02209955  0.0528723
  0.08447854  0.10049379]","[ 7.4052483e-02  3.6018115e-02  1.9052523e-01  1.1944109e-04
  2.0954844e-02  7.7215046e-02  3.4299847e-02  7.6831073e-02
 -5.8456998e-02 -1.3954958e-01  1.1083810e-01 -8.4787399e-02
 -7.6653495e-02  6.0955115e-02 -1.2958192e-02  8.2631908e-02
 -3.3296868e-02 -6.8503104e-02 -8.7666877e-02  3.0791918e-02
  1.8127125e-02  1.7944315e-01  3.5214182e-02  3.9233629e-02
 -7.4581983e-03 -3.3322446e-02  4.2834461e-02 -3.5916220e-02
  1.0931185e-01  7.8332588e-02  5.2694075e-02 -6.1871033e-02
 -7.2009359e-03 -2.0044263e-02  1.1782136e-02  7.3515251e-02
  6.5302372e-02  1.2839821e-01  8.5950106e-02 -1.1574774e-01
  2.4838957e-03  1.6878079e-01  3.1232787e-02  1.4386643e-01
  5.4236844e-02 -7.4727617e-02 -3.5340504e-03  8.9577056e-02
  5.4099649e-02 -4.5672534e-03]",both,0.41116580227458943,2.1905746192205697,0.792
32,3,LowIOS,6,8,0,0.0,"[ 0.18410411  0.00728607  0.1265705  -0.00527498 -0.0070366   0.02245315
 -0.11480893  0.00543677 -0.08674487 -0.11048527  0.16203582 -0.11528005
  0.035216    0.08042966 -0.03597506  0.06982954  0.01275582 -0.06207003
 -0.05877124  0.08575854  0.11478388  0.06477051  0.11251186  0.0800107
  0.0183028  -0.00141173  0.09819106  0.05106218  0.07402651  0.03921724
  0.04290805 -0.05905684 -0.07508244 -0.00701609  0.00289958  0.0277158
 -0.05484617  0.12884614  0.07556936 -0.1725215   0.0160434   0.14693494
  0.00591494  0.10531466  0.10914042 -0.0067894   0.00149559  0.23997363
  0.04077541 -0.08513044]","[-0.0041533  -0.0571744   0.0600893  -0.01714465  0.01567062  0.06504798
 -0.05669693  0.08607303 -0.09933405 -0.10725796  0.05338912 -0.09586664
 -0.07560237  0.04667564 -0.02894012  0.11446455 -0.06780764 -0.15747316
 -0.03028139  0.06974259  0.07415843  0.11701471  0.07769085  0.01532918
 -0.01754365  0.03104841  0.06356447 -0.0096461   0.11224336  0.08084677
  0.11662267  0.00636726 -0.05114284 -0.02069069 -0.01483583  0.04732577
  0.04705192  0.04145142  0.14264022 -0.13926807  0.01511961  0.08979681
  0.08639303  0.05281503  0.01394507 -0.01950032  0.08597528  0.17730908
  0.00065272 -0.01577707]",both,0.4416277029635543,2.59085201844573,0.717
41,3,LowIOS,2,14,2,0.14285714285714285,"[ 0.00366257 -0.04054385  0.2521671   0.01913172  0.04520322  0.17291684
 -0.15579852  0.05666503  0.00220343  0.02069771  0.1917037  -0.13599434
 -0.09482212  0.0375645   0.02210271 -0.03941012  0.03166565 -0.23515919
 -0.1702179   0.08025856  0.1007476  -0.01308411 -0.10499134  0.00124712
  0.23661575  0.00506669  0.1469396  -0.08519132  0.20786658 -0.07925823
  0.1449832  -0.14356887 -0.01915252  0.03192962  0.12300303  0.2225306
  0.0914365   0.08495913  0.08495839 -0.06859194  0.0475493  -0.09317444
  0.14153269  0.00845518 -0.073106   -0.04030848  0.1592022   0.14407629
 -0.15513237  0.03008102]","[ 0.00602157  0.05015625  0.12892061  0.0359227   0.09717176  0.10292499
 -0.12559117  0.03268767 -0.04133761 -0.09570247  0.09226086 -0.00662946
 -0.04222444  0.04659118 -0.01718653  0.00883523 -0.00783668 -0.06291008
 -0.1396316   0.07411215  0.06440488  0.06821061  0.05521101  0.01433348
  0.05818602 -0.04647516  0.05885644  0.04696392  0.08354583  0.04547723
  0.05579121 -0.08408489 -0.05065051  0.01543522 -0.03386785  0.08369894
 -0.00442374  0.0629996   0.07228233 -0.08016432 -0.01534875 -0.0172196
  0.04664064  0.08922552 -0.01822762 -0.04034643  0.03414038  0.12205166
  0.00735196 -0.04005494]",both,0.6169258977746371,3.5694035850465298,0.677
42,6,HighIOS,13,15,3,0.12,"[ 2.1194121e-02 -4.0219501e-02  1.2135086e-02  1.5629776e-02
  6.9143303e-02  5.2425452e-02 -7.6229967e-02  1.2521339e-02
 -1.4829548e-01 -6.4849369e-02  7.7291951e-02 -1.1020123e-01
 -5.3741699e-03  2.1142390e-02  1.5820190e-02  7.3298052e-02
 -1.3338360e-01 -8.3160728e-02 -4.2493399e-02  2.4449997e-02
  8.8825278e-02  6.0012758e-02 -1.5101762e-02 -3.1955205e-02
  7.2044265e-03 -6.2880389e-02  4.2897549e-02 -1.6947344e-02
 -8.8391639e-04 -2.1122629e-02  6.8414599e-02 -9.5617929e-03
 -3.7961520e-02  4.7683276e-02 -6.4851306e-02  4.5019150e-02
  8.9010000e-02  1.4433238e-01  3.4733117e-02 -5.7074696e-02
 -5.2056037e-02  1.0429302e-01  5.3165559e-02  1.0719464e-01
  1.0153662e-01  7.6917931e-05  6.6047952e-02  9.0767473e-02
 -3.8951049e-03  6.6014037e-02]","[ 0.03818737 -0.00728261  0.14105798  0.0177803   0.02757864  0.09588877
 -0.06382918  0.03076952 -0.06680637 -0.08558604  0.10788064 -0.07362758
 -0.03287311  0.04297955 -0.01520014  0.02720443  0.02828596 -0.04154933
 -0.11035076  0.06808676  0.14103082  0.08437623  0.03833182  0.04730213
  0.07987946 -0.05817923  0.10927054 -0.00505639  0.11274069  0.04227587
  0.10129382 -0.07236172 -0.0392198   0.0121874  -0.01336042  0.05151661
  0.06512313  0.1494782   0.1234694  -0.07897064 -0.03513796  0.06961421
  0.02182914  0.06836181  0.06802515 -0.03009102  0.01128358  0.15297998
  0.02361158 -0.03760652]",both,0.38946893217502376,2.2128531634807587,0.688
43,1,LowIOS,28,18,6,0.15,"[ 0.06807982  0.03903689  0.10688438  0.04615929  0.06820227  0.03625423
 -0.05506153  0.00067083 -0.1069987  -0.09256079  0.11342551 -0.07646266
 -0.07662132  0.09197038 -0.01418356  0.08661889 -0.07727443 -0.06028676
 -0.0323588   0.01308013  0.07711262  0.08467806 -0.03783648  0.01294524
  0.03909604 -0.00353631  0.07918877  0.03895026  0.09243326  0.07151389
  0.05864554 -0.03376641 -0.0304876  -0.0239639  -0.01651611 -0.02286984
  0.02425521  0.11436297  0.06467759 -0.08209462 -0.01119216  0.11007416
  0.04063333  0.08279378  0.05033698 -0.02973826  0.02111057  0.13741924
 -0.04583296  0.00441098]","[ 0.1120254  -0.00926766  0.12189267  0.03727306  0.04549756  0.06167261
 -0.06879389  0.05284233 -0.1260885  -0.11577886  0.08428388 -0.03754966
 -0.04037801  0.04196791 -0.03370463  0.08391637 -0.02801306 -0.03880763
 -0.08442602  0.02689117  0.12495182  0.12617703 -0.06354699  0.00117029
  0.06325377 -0.03370015  0.06642699 -0.00853227  0.084976    0.07532366
  0.07565763 -0.00833412 -0.05425056  0.01941671 -0.03869628  0.00779984
 -0.01247028  0.15687273  0.09065061 -0.04792886 -0.02929589  0.09515229
  0.04782248  0.12453108  0.07152165 -0.01828147  0.00310226  0.14793684
 -0.01588922 -0.04048505]",both,0.21627675338082253,1.3580497866496444,0.906
46,3,LowIOS,12,4,0,0.0,"[ 0.0630988  -0.03333686  0.04930169  0.00063493 -0.04580068  0.08001722
 -0.06271843 -0.00602268 -0.06802941 -0.11244147  0.11536344 -0.05325761
 -0.01433766  0.06824968 -0.00549408  0.1064639  -0.03502899 -0.08092169
 -0.05585408  0.06189535  0.07351106  0.17429325 -0.00156282  0.04583287
  0.0387783  -0.04849921  0.07518533 -0.00041602  0.04156449  0.06051819
  0.12543549 -0.00640423 -0.00602225  0.0641652  -0.05789695  0.07565062
  0.05027349  0.15826242  0.07716545 -0.08693378 -0.00409829  0.13229164
  0.03801002  0.10233179  0.07534269 -0.07559577  0.02808173  0.10060091
  0.04566181  0.01951824]","[ 0.19804408  0.04585594  0.2036964  -0.01754256  0.02946378  0.0379317
  0.01494031 -0.00811446  0.00930114 -0.14154744  0.08605524  0.05452689
 -0.03766158  0.1104423  -0.14087228  0.10798878 -0.00790559 -0.12171035
 -0.09877491 -0.02191188 -0.05301471  0.04950982 -0.0750915   0.00364719
  0.09943445 -0.07699495 -0.01089274  0.04555824  0.06265979  0.18426766
  0.2518494  -0.14831963 -0.03760039 -0.0283114   0.09022578  0.13665397
 -0.06067033 -0.01403411  0.09228837 -0.07367457 -0.03067724 -0.01525203
  0.01819313 -0.0108103   0.0130863  -0.10403935 -0.04296222  0.11675791
  0.01931493 -0.08844251]",both,0.5946641462386769,3.4898950732313097,0.497
48,5,HighIOS,12,11,3,0.15,"[ 0.04056099  0.00793217  0.10800476  0.02165738  0.01756543  0.11144412
 -0.07457927  0.01888158  0.00525122 -0.06700726  0.06365523 -0.09980004
 -0.08880084  0.03644166  0.03675135  0.11533673 -0.14108357 -0.13406706
  0.00478949  0.02652108  0.09340377  0.07923073 -0.10203156  0.02310555
  0.09007005 -0.01712409  0.05701489 -0.1008956   0.00980567  0.06373474
  0.01774504 -0.01782127  0.00480054  0.00996787  0.00673266 -0.02127575
  0.11929148  0.08462537  0.12480199 -0.06439143 -0.07689396  0.07874969
  0.08241773 -0.00454552  0.08071526 -0.04921521  0.17475471  0.02351498
 -0.00099053  0.14101581]","[ 0.08884796  0.04529652  0.11056251  0.03638473  0.07272489  0.07448038
 -0.08956043 -0.00207266 -0.03170308 -0.07085896  0.04649313 -0.05908955
 -0.08260654  0.07252902  0.03119827  0.08067611 -0.08112177 -0.13339652
  0.00171353 -0.04879451  0.01616848  0.07231461 -0.03781378 -0.01446264
  0.12333993 -0.01686089  0.02804285 -0.04107349  0.0057674   0.02435978
  0.07199793  0.00225585  0.01756446 -0.01241751 -0.01209359  0.04808644
  0.02591292  0.09194649  0.06392271 -0.07197667 -0.00431273  0.06876887
  0.08601201  0.02478741  0.06737873 -0.04943735  0.10870458  0.04457967
 -0.02467686  0.03133167]",both,0.2972819530303178,1.6192358587868512,0.833
50,3,LowIOS,14,7,0,0.0,"[ 0.14700195  0.02765682  0.14794107  0.00208015  0.0312414   0.07504807
 -0.00761084  0.03179932 -0.0895826  -0.14707331  0.10413343 -0.05248331
 -0.03927772  0.07201845 -0.09809151  0.08578842 -0.032695   -0.07506584
 -0.07298577  0.00352764  0.02967896  0.09223395 -0.00237343  0.03563766
  0.05986585 -0.05797789  0.07343739  0.0054311   0.09088114  0.1034897
  0.11183698 -0.09850315 -0.015812   -0.02030191  0.0172116   0.0670692
 -0.02036628  0.08695816  0.08850638 -0.11653157  0.02783537  0.09089855
  0.03136374  0.08380824  0.09194672 -0.05874879  0.03835093  0.15459546
  0.0328864  -0.00603807]","[ 0.09682513 -0.02310699  0.2036302  -0.05849947 -0.00165221  0.08959091
 -0.08746034  0.08229713  0.05657703 -0.03415233  0.11445507 -0.08550347
 -0.06206769  0.05685929  0.0583851   0.0552357  -0.01550923 -0.1398306
 -0.048845    0.10071451  0.06450154  0.04870667  0.04422756  0.01587389
  0.10095696 -0.04506352  0.04882897 -0.12798606  0.04489552  0.01320824
  0.08563635 -0.02967031  0.0207131   0.01115919  0.04855873  0.11386581
  0.13233161  0.11654771  0.18337649 -0.06077049 -0.09043943  0.13798223
  0.04811227  0.02474692  0.03926929 -0.07197016  0.14750423  0.01766286
  0.07472562  0.14516117]",both,0.5096086740523174,2.938958490267396,0.607
54,2,LowIOS,46,21,4,0.06349206349206349,"[ 0.07972316  0.00766218  0.05414728  0.02788195  0.06631214  0.06836643
 -0.08546531  0.04130629 -0.04780534 -0.07592962  0.07757647 -0.05590528
 -0.05058686  0.06244439  0.01590979  0.09384613 -0.05948491 -0.06576832
 -0.02757323  0.0457085   0.08529533  0.10620309 -0.0105108   0.02773415
  0.0437035  -0.0140309   0.04205849 -0.01637007  0.05865664  0.06274153
  0.07603557 -0.00702078  0.00034711  0.01840769 -0.02676137  0.05597336
  0.0680901   0.09257111  0.13604714 -0.07008604 -0.02553239  0.05648843
  0.06595132  0.06704417  0.07418098 -0.04851795  0.03894541  0.08307933
  0.0120123   0.02327251]","[ 8.40369463e-02 -2.80214613e-03  1.12279817e-01 -2.67850477e-02
 -8.91175387e-06  4.37940098e-02 -4.14127447e-02 -1.70578491e-02
 -3.32266954e-03 -4.56640050e-02  9.65087488e-02 -5.08488975e-02
 -1.35390377e-02  8.43932629e-02 -6.04871660e-02  7.50697926e-02
 -4.71468829e-02 -4.21132408e-02 -6.85074702e-02  5.83685711e-02
  8.83428752e-02  6.71057254e-02  6.44719228e-02  4.02315781e-02
  1.42736677e-02 -7.07835481e-02  2.80459393e-02  1.18533261e-02
  5.25772385e-02  1.24139637e-01  6.10771738e-02 -8.42110813e-03
 -3.00108027e-02 -9.95362643e-03  3.56052667e-02  8.03342497e-04
  7.55026042e-02  7.96016902e-02  8.15421715e-02 -9.02111903e-02
 -3.62618454e-02  1.06531814e-01  2.18843594e-02  9.47542712e-02
 -1.59751102e-02  2.93409042e-02  8.86818953e-03  7.23066330e-02
  3.57416756e-02 -1.06789628e-02]",both,0.2857583704049413,1.6756254192441702,0.768
67,1,LowIOS,13,11,0,0.0,"[ 0.07763564 -0.03641362  0.13498305  0.03115249  0.03109181  0.09974058
 -0.0500342   0.06761812 -0.02269121 -0.09743786  0.12019627 -0.07766332
 -0.05531702  0.05845947  0.02885007  0.10929462 -0.08527747 -0.11774962
 -0.05530096  0.01829226  0.02621873  0.09135294  0.00681446  0.00185573
  0.12027939 -0.07505536  0.08932233 -0.01608675  0.03228696  0.06035092
  0.11849678 -0.01967917  0.0082257   0.00726154 -0.02592711  0.03968256
  0.06280175  0.07211337  0.15039374 -0.06013129 -0.03517499  0.09815447
  0.04605303  0.07853215  0.03543286 -0.04842104  0.08733495  0.03680332
  0.02459193  0.01919854]","[ 0.0807805   0.03990518  0.11526284  0.01269229 -0.02111438  0.12348395
  0.01991068  0.1272568  -0.01030736 -0.07954692  0.15069233 -0.11589961
 -0.04624571  0.0846267   0.02306507  0.10795319  0.01325397 -0.13354035
 -0.04127289  0.01451307  0.15624854  0.15124036 -0.09138611  0.10264735
 -0.01855085 -0.09436876  0.02352047 -0.1053591   0.0624558   0.10194049
  0.04381904  0.00351089 -0.01287023 -0.00133427 -0.04638722  0.1230825
 -0.0032928   0.10851433  0.08085969 -0.08060589  0.04418922  0.07358623
  0.01069955  0.12355282  0.04169204 -0.08560682  0.046877    0.13098706
  0.05961946 -0.0081763 ]",both,0.3950465178796277,2.219283771701157,0.741
