MID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,怒る,仕事,抱え込む,チェック,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,回答,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,仕事,ある,思う,やる,する,一緒,出かける,接する,,,,,,,,,,,,,,,,,,,,
13,する,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ミス,許す,言う,守る,考える,行動,する,行動,,,,,,,,,,,,,,,,,,,,
22,なる,会う,仕事,休む,買う,調べる,買う,話しかける,する,会う,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,考える,なる,なる,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,収穫,くれる,ある,思う,言える,関係,,,,,,,,,,,,,,,,,,,,,,
42,好く,言える,思う,する,知る,話せる,,,,,,,,,,,,,,,,,,,,,,
43,養う,判断,間違う,行動,ある,出来る,,,,,,,,,,,,,,,,,,,,,,
45,請負,持つ,思う,見る,配る,思う,,,,,,,,,,,,,,,,,,,,,,
46,ある,ある,ある,ある,,,,,,,,,,,,,,,,,,,,,,,,
48,ある,ある,通す,熟慮,する,リード,する,,,,,,,,,,,,,,,,,,,,,
50,思う,考える,する,する,白黒,する,思う,伝える,する,,,,,,,,,,,,,,,,,,,
54,思う,会う,こぼす,ある,言う,する,料理,参加,する,参加,する,かかわる,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,暴言,吐く,暴れる,もつ,働く,いえる,逃げる,開く,,,,,,,,,,,,,,,,,,,,
69,考える,仕事,営業,ある,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,付き合う,する,信頼,できる,する,する,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,ある,ある,消去,,,,,,,,,,,,,,,,,,,,,,,,,
81,該当,する,思う,頼む,実行,できる,とぼける,話しかける,,,,,,,,,,,,,,,,,,,,
82,する,なる,ある,思う,する,うっかり,する,ある,いく,やれる,,,,,,,,,,,,,,,,,,
83,つく,話す,つく,教える,知る,交換,する,ある,聞く,決める,守る,配信,配信,する,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,気に入る,ある,思う,,,,,,,,,,,,,,,,,,,,,,,,,
86,選ぶ,会話,遣る,対応,会う,回答,,,,,,,,,,,,,,,,,,,,,,
87,保てる,関係,やる,考える,待つ,関わる,,,,,,,,,,,,,,,,,,,,,,
88,ある,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,する,ある,話,する,なる,する,感じる,いる,とる,計画,する,行動,する,信じる,騙す,なる,ある,活躍,する,おる,お誘い,ある,,,,,,
92,許す,保証,する,計画,する,いる,,,,,,,,,,,,,,,,,,,,,,
93,裏切る,取る,浮気,する,,,,,,,,,,,,,,,,,,,,,,,,
95,関係,よる,思う,思う,取る,ある,思う,集中,する,する,する,考える,近寄る,思う,言う,言う,持つ,行動,ある,思う,営業,仕事,する,ある,話,する,知る,打ち解ける
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,相談,のる,仕事,いる,,,,,,,,,,,,,,,,,,,,,,,,
99,思う,謝る,でる,,,,,,,,,,,,,,,,,,,,,,,,,
100,仕事,する,頑張る,,,,,,,,,,,,,,,,,,,,,,,,,
103,言う,ある,ねたむ,いる,遊ぶ,遊ぶ,やる,聞く,やる,通す,注意,する,注意,ある,巻き込む,違う,話,かける,,,,,,,,,,
104,約束,守る,無駄遣い,する,,,,,,,,,,,,,,,,,,,,,,,,
105,怒る,言う,忘れる,ミス,取る,なる,頼る,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,ある,する,営業,,,,,,,,,,,,,,,,,,,,,,,,,
114,ある,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,行動,する,,,,,,,,,,,,,,,,,,,,,,,,,,
121,怒る,する,行動,起こす,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,分かる,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,回答,なる,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,思う,思う,行動,思う,,,,,,,,,,,,,,,,,,,,,,,,
132,嫌う,入れる,言う,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,帰る,言う,喧嘩,する,一緒,いる,失言,考える,取る,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,ある,する,仕事,紹介,する,でる,,,,,,,,,,,,,,,,,,,,,,
145,ある,対応,尊敬,する,行く,諦める,やる,ある,対応,する,やる,対応,する,好く,いる,一緒,行動,,,,,,,,,,,
146,なる,言う,一緒,いる,疲れる,仕事,こなす,考える,行動,する,回答,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,会う,仲違い,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,思う,いう,思う,考える,思う,思う,,,,,,,,,,,,,,,,,,,,,,
157,約束,する,守る,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,入れる,考える,行く,,,,,,,,,,,,,,,,,,,,,,,,,
164,回答,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,考える,話す,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,する,言う,思い立つ,行動,する,する,,,,,,,,,,,,,,,,,,,,,,
176,あり,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,束縛,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,考える,引き受ける,一緒,いる,分かる,仕事,頑張る,押しつける,喋る,近づく,貢ぐ,考える,出掛ける,言う,出掛ける,挨拶,する,会話,する,,,,,,,,,
