1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,,,,,,,,,,,,,,,,,,,,,,,,
お人好し,基本,受け身,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
それ,自分,家,先,人,私,,,,,,,,,,,,,,,,,,,,
態度,感じ,人見知り,,,,,,,,,,,,,,,,,,,,,,,
人当たり,性格,,,,,,,,,,,,,,,,,,,,,,,,
人,感じ,何,入念,自分,人,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
わたし,笑顔,社長,意欲,誰,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
エピソード,釣り,魚,どちら,エピソード,交友,,,,,,,,,,,,,,,,,,,,
だれ,性格,子供,どちら,人,平気,,,,,,,,,,,,,,,,,,,,
子煩悩,妻子,主義,人,スキル,老若男女,誰,コミュニケーション,,,,,,,,,,,,,,,,,,
自分,責任,周り,気,,,,,,,,,,,,,,,,,,,,,,
気分,酒,,,,,,,,,,,,,,,,,,,,,,,,
余裕,社交,最後,コミュニケーション,能力,,,,,,,,,,,,,,,,,,,,,
どちら,,,,,,,,,,,,,,,,,,,,,,,,,
ノリ,たま,愚痴,こ,委員,委員,教室,手芸,教室,人,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
恨み,どちら,心,,,,,,,,,,,,,,,,,,,,,,,
視野,一つ,相手,社交,面,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
自分,わがまま,他者,評判,物おじ,友人,知り合い,,,,,,,,,,,,,,,,,,,
当たり,友達,,,,,,,,,,,,,,,,,,,,,,,,
人見知り,,,,,,,,,,,,,,,,,,,,,,,,,
外面,長男,人,,,,,,,,,,,,,,,,,,,,,,,
夫,,,,,,,,,,,,,,,,,,,,,,,,,
狭量,不可,ぶん,,,,,,,,,,,,,,,,,,,,,,,
性格,感じ,島内,誰,,,,,,,,,,,,,,,,,,,,,,
人柄,程度,責任,半々,気分,消極,自分,周り,,,,,,,,,,,,,,,,,,
嘘,本当,嘘,男性,社交,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
そこ,コミュニケーション,能力,,,,,,,,,,,,,,,,,,,,,,,
こちら,久しぶり,お互い,距離,,,,,,,,,,,,,,,,,,,,,,
ふつう,距離,頭,職場,鹿,リ,タイプ,タイプ,あまり,,,,,,,,,,,,,,,,,
自分,人,自己,社交,,,,,,,,,,,,,,,,,,,,,,
いつ,私,悩み,喜び,何,人,私,黒白,人,いつ,リーダーシップ,わり,そこ,友達,,,,,,,,,,,,
わがまま,笑顔,私,たま,友達,,,,,,,,,,,,,,,,,,,,,
責任,こちら,人見知り,関わり,幅,,,,,,,,,,,,,,,,,,,,,
相手,私,彼女,心,そこ,人,厳,しめ,態度,基本,感じ,人,何,考え事,他人,人,自分,他人,人,ノリ,お調子者,人,自分,興味,他人,人
,,,,,,,,,,,,,,,,,,,,,,,,,
自分,家族,,,,,,,,,,,,,,,,,,,,,,,,
頑固,自分,愛想,顔,,,,,,,,,,,,,,,,,,,,,,
あまり,自己,中心,友達,,,,,,,,,,,,,,,,,,,,,,
あまり,相手,みんな,自分,散漫,周り,子供,自分,性格,こ,,,,,,,,,,,,,,,,
お金,,,,,,,,,,,,,,,,,,,,,,,,,
人,愚痴,温和,基本,資格,友達,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
答,,,,,,,,,,,,,,,,,,,,,,,,,
ゆとり,ビジネスマン,フットワーク,,,,,,,,,,,,,,,,,,,,,,,
責任,,,,,,,,,,,,,,,,,,,,,,,,,
思い付き,,,,,,,,,,,,,,,,,,,,,,,,,
口,態度,体裁,気,どちら,何事,他力本願,自分,公,場,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
誰,,,,,,,,,,,,,,,,,,,,,,,,,
タイプ,性格,感じ,,,,,,,,,,,,,,,,,,,,,,,
言動,言動,言動,,,,,,,,,,,,,,,,,,,,,,,
念,念,タイプ,性格,どちら,控えめ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
夜中,文句,印象,後先,リーダーシップ,車,場所,,,,,,,,,,,,,,,,,,,
家庭,責任,外面,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
むら,気,外,,,,,,,,,,,,,,,,,,,,,,,
懐,責任,皆,物事,人当たり,最後,責任,何事,何事,要因,仲間,,,,,,,,,,,,,,,
何,タイプ,社交,,,,,,,,,,,,,,,,,,,,,,,
いとう,,,,,,,,,,,,,,,,,,,,,,,,,
人,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
はさ,,,,,,,,,,,,,,,,,,,,,,,,,
人,社交,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
何事,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
誰,何事,人,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
人任せ,他人,気,平気,人見知り,,,,,,,,,,,,,,,,,,,,,
外面,家族,責任,人間,自分,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
外面,人間,それ,私,自宅,住所,個人,情報,人込み,声,女,後先,人込み,近所,人,会社,人,,,,,,,,,
